campaign_objective,platform,ad_placement,device_type,operating_system,creative_format,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit
Lead Generation,Facebook,Search,Mobile,Android,Image,True,Trust,46,25-34,Male,Students,$50K-$100K,Medium,False,2024-03-03,7,51,6,1.22,23663,274,4,334.28,482.7,66.61,Medium,1.158,1.22,1.46,83.57,1.44,148.42
Lead Generation,TikTok,Feed,Desktop,Android,Image,True,Trust,44,45-54,Female,Students,$50K-$100K,Low,False,2026-01-01,12,86,7,1.77,78958,1428,14,2527.56,2760.41,63.89,Medium,1.809,1.77,0.98,180.54,1.09,232.85
Conversions,Facebook,Stories,Tablet,Windows,Video,True,Joy,27,35-44,Male,Business Professionals,$50K-$100K,Low,False,2025-12-23,12,16,8,1.04,30683,2186,131,2273.44,24918.04,66.92,Medium,7.124,1.04,5.993,17.35,10.96,22644.6
Conversions,Facebook,Search,Desktop,iOS,Interactive,True,Urgency,86,55-64,Male,Business Professionals,$50K-$100K,Medium,False,2024-06-12,9,84,6,2.21,6056,105,6,232.05,1035.38,25.39,Medium,1.734,2.21,5.714,38.68,4.46,803.33
Conversions,Google Ads,Feed,Mobile,Windows,Video,True,Curiosity,43,25-34,Female,Gamers,$100K-$200K,Medium,False,2024-02-21,0,22,6,3.01,11395,395,18,1188.95,4592.9,57.68,Medium,3.466,3.01,4.557,66.05,3.86,3403.95
Brand Awareness,Facebook,Search,Mobile,Android,Story,False,Urgency,13,25-34,Male,Shoppers,>$200K,Medium,False,2024-10-19,14,35,4,0.65,17934,685,13,445.25,6690.56,54.08,Low,3.82,0.65,1.898,34.25,15.03,6245.31
App Installs,TikTok,Search,Desktop,Windows,Image,True,Trust,12,25-34,Female,Business Professionals,$100K-$200K,Low,True,2025-06-18,14,87,8,0.53,16283,656,7,347.68,1872.81,80.89,Medium,4.029,0.53,1.067,49.67,5.39,1525.13
Conversions,Twitter,Feed,Mobile,Windows,Video,False,Joy,78,55-64,Female,Tech Enthusiasts,$50K-$100K,Low,False,2024-11-18,2,44,5,1.99,54619,1469,36,2923.31,4271.13,69.44,High,2.69,1.99,2.451,81.2,1.46,1347.82
Lead Generation,Facebook,Stories,Mobile,Android,Image,True,Fear,67,25-34,Female,Gamers,$50K-$100K,Low,False,2024-12-15,10,40,6,1.5,6937,395,22,592.5,7101.21,55.36,Medium,5.694,1.5,5.57,26.93,11.99,6508.71
Conversions,TikTok,Stories,Mobile,Android,Image,False,Trust,18,25-34,Female,Business Professionals,>$200K,Medium,False,2025-11-16,4,68,6,1.28,27010,2033,49,2602.24,32856.95,82.1,Medium,7.527,1.28,2.41,53.11,12.63,30254.71
Conversions,TikTok,In-Stream Video,Mobile,iOS,Image,True,Trust,3,35-44,All,Tech Enthusiasts,$50K-$100K,Low,False,2024-10-12,18,69,6,0.92,172296,8964,142,8246.88,24053.75,77.61,High,5.203,0.92,1.584,58.08,2.92,15806.87
Conversions,LinkedIn,Display Network,Mobile,Android,Image,False,Trust,16,55-64,Male,Students,$100K-$200K,Medium,False,2024-03-19,4,83,4,7.22,24189,130,1,938.6,461.88,72.14,Low,0.537,7.22,0.769,938.6,0.49,-476.72
Lead Generation,TikTok,Stories,Desktop,Android,Image,False,Joy,83,35-44,Female,Tech Enthusiasts,<$50K,Medium,False,2024-07-27,2,13,4,2.0,82741,831,28,1662.0,3426.06,50.62,High,1.004,2.0,3.369,59.36,2.06,1764.06
Lead Generation,Facebook,Search,Mobile,iOS,Image,False,Trust,77,35-44,All,Business Professionals,$50K-$100K,High,False,2025-11-19,12,48,3,2.55,27358,320,7,816.0,1854.85,64.07,Medium,1.17,2.55,2.188,116.57,2.27,1038.85
App Installs,TikTok,Search,Mobile,Windows,Image,True,Neutral,12,35-44,All,Gamers,$50K-$100K,High,False,2025-12-06,3,43,6,1.09,11159,519,26,565.71,5459.09,44.85,Low,4.651,1.09,5.01,21.76,9.65,4893.38
Brand Awareness,LinkedIn,Feed,Mobile,iOS,Carousel,True,Trust,48,18-24,Male,Tech Enthusiasts,>$200K,Low,False,2024-08-06,18,35,6,2.99,182645,1672,6,4999.28,3465.53,79.61,Low,0.915,2.99,0.359,833.21,0.69,-1533.75
Lead Generation,LinkedIn,Feed,Desktop,iOS,Interactive,True,Curiosity,58,25-34,All,Tech Enthusiasts,$100K-$200K,Medium,False,2025-11-26,12,86,6,11.18,19743,447,34,4997.46,7139.17,35.26,Low,2.264,11.18,7.606,146.98,1.43,2141.71
Lead Generation,Facebook,Display Network,Desktop,Windows,Video,True,Urgency,73,35-44,Male,Gamers,$100K-$200K,High,False,2025-07-25,13,69,2,1.21,90032,876,86,1059.96,39738.34,29.8,Low,0.973,1.21,9.817,12.33,37.49,38678.38
Lead Generation,Google Ads,Feed,Desktop,macOS,Video,False,Curiosity,90,25-34,Female,Students,$50K-$100K,Medium,False,2025-12-02,20,8,2,8.76,27719,570,59,4993.2,14996.99,45.58,Low,2.056,8.76,10.351,84.63,3.0,10003.79
Lead Generation,Google Ads,Feed,Desktop,Android,Interactive,False,Joy,7,35-44,Female,Shoppers,<$50K,Medium,False,2025-05-13,16,1,4,3.21,12016,347,5,1113.87,731.17,51.3,Low,2.888,3.21,1.441,222.77,0.66,-382.7
Brand Awareness,Facebook,Search,Mobile,Android,Story,True,Urgency,64,25-34,Female,Business Professionals,<$50K,Low,False,2025-08-03,9,58,5,0.7,15704,216,0,151.2,0.0,79.44,Low,1.375,0.7,0.0,0.0,0.0,-151.2
Engagement,LinkedIn,Stories,Desktop,Windows,Image,True,Urgency,90,25-34,Male,Business Professionals,<$50K,Medium,False,2025-08-29,5,13,4,4.1,28383,390,7,1599.0,735.27,63.29,Medium,1.374,4.1,1.795,228.43,0.46,-863.73
Lead Generation,Google Ads,Stories,Desktop,Windows,Video,True,Joy,78,25-34,Male,Business Professionals,$50K-$100K,Medium,True,2026-01-18,15,16,6,6.01,28016,884,104,5312.84,27818.02,55.55,Medium,3.155,6.01,11.765,51.08,5.24,22505.18
Engagement,Google Ads,Search,Desktop,Windows,Image,True,Neutral,77,55-64,All,Gamers,<$50K,Medium,False,2024-03-04,21,87,4,2.54,500000,3623,51,9202.42,6017.31,36.25,Medium,0.725,2.54,1.408,180.44,0.65,-3185.11
Conversions,Facebook,In-Stream Video,Desktop,macOS,Image,True,Urgency,18,35-44,All,Tech Enthusiasts,$50K-$100K,High,False,2024-09-19,20,25,6,1.81,7241,136,10,246.16,3488.62,33.1,Low,1.878,1.81,7.353,24.62,14.17,3242.46
Lead Generation,Twitter,In-Stream Video,Mobile,iOS,Carousel,True,Trust,90,35-44,Male,Shoppers,<$50K,Low,False,2025-11-24,19,26,4,3.12,500000,11533,180,35982.96,36287.29,85.02,High,2.307,3.12,1.561,199.91,1.01,304.33
Lead Generation,TikTok,Search,Mobile,iOS,Video,True,Neutral,1,25-34,All,Tech Enthusiasts,$50K-$100K,High,False,2025-09-02,4,30,5,0.73,14893,314,5,229.22,1010.56,30.3,Medium,2.108,0.73,1.592,45.84,4.41,781.34
Lead Generation,Twitter,Stories,Mobile,macOS,Video,False,Trust,17,18-24,All,Tech Enthusiasts,$100K-$200K,Medium,False,2024-11-19,11,39,6,1.32,17661,1412,33,1863.84,6676.26,73.96,Low,7.995,1.32,2.337,56.48,3.58,4812.42
Brand Awareness,TikTok,Search,Desktop,Windows,Image,True,Trust,73,65+,All,Gamers,$50K-$100K,Low,True,2025-06-11,8,78,6,0.54,36203,419,3,226.26,964.33,64.9,Low,1.157,0.54,0.716,75.42,4.26,738.07
Conversions,LinkedIn,Feed,Mobile,iOS,Image,True,Urgency,81,25-34,Male,Business Professionals,$50K-$100K,Low,False,2025-04-21,18,69,4,4.84,90140,639,5,3092.76,1437.38,90.0,High,0.709,4.84,0.782,618.55,0.46,-1655.38
App Installs,Facebook,Feed,Mobile,macOS,Text,True,Fear,55,45-54,Male,Students,$50K-$100K,Medium,False,2024-03-06,3,2,6,2.0,13044,82,0,164.0,0.0,58.08,Medium,0.629,2.0,0.0,0.0,0.0,-164.0
Engagement,Twitter,Feed,Mobile,iOS,Video,True,Trust,2,18-24,All,Health & Fitness,$50K-$100K,Low,False,2025-12-31,16,56,6,1.53,5000,400,7,612.0,951.21,80.96,Medium,8.0,1.53,1.75,87.43,1.55,339.21
Engagement,Google Ads,Display Network,Mobile,iOS,Video,False,Neutral,30,18-24,Male,Business Professionals,$100K-$200K,Medium,False,2024-01-13,18,78,6,3.46,122367,5175,103,17905.5,34382.56,54.17,Medium,4.229,3.46,1.99,173.84,1.92,16477.06
Brand Awareness,Facebook,Feed,Tablet,Android,Image,True,Neutral,12,35-44,Female,Health & Fitness,>$200K,Medium,False,2025-12-02,16,80,5,1.39,27738,744,19,1034.16,7335.75,55.4,Medium,2.682,1.39,2.554,54.43,7.09,6301.59
Lead Generation,TikTok,Feed,Mobile,Android,Video,True,Urgency,39,35-44,All,Shoppers,<$50K,Low,False,2024-10-25,16,87,4,0.93,5000,199,5,185.07,766.52,54.64,Low,3.98,0.93,2.513,37.01,4.14,581.45
Conversions,Twitter,Stories,Desktop,Android,Video,True,Curiosity,27,65+,All,Shoppers,$100K-$200K,Low,False,2025-04-23,2,17,6,2.16,38737,939,54,2028.24,24180.08,48.89,Medium,2.424,2.16,5.751,37.56,11.92,22151.84
Brand Awareness,Facebook,Feed,Desktop,Windows,Video,True,Trust,57,45-54,Female,Shoppers,$50K-$100K,Low,False,2025-08-23,17,59,5,1.12,32778,733,15,820.96,2415.29,67.55,Low,2.236,1.12,2.046,54.73,2.94,1594.33
Brand Awareness,Facebook,Feed,Tablet,Android,Carousel,True,Urgency,66,25-34,Male,Health & Fitness,$100K-$200K,Medium,False,2024-08-25,0,62,5,2.88,40798,662,4,1906.56,1707.64,39.49,High,1.623,2.88,0.604,476.64,0.9,-198.92
Lead Generation,Facebook,Feed,Mobile,Windows,Carousel,True,Urgency,43,25-34,Female,Business Professionals,>$200K,High,False,2025-06-28,17,12,4,1.36,58389,1772,47,2409.92,27513.06,30.96,Medium,3.035,1.36,2.652,51.27,11.42,25103.14
Lead Generation,TikTok,Feed,Mobile,iOS,Image,False,Joy,57,35-44,Male,Shoppers,$100K-$200K,High,False,2024-12-02,15,75,3,0.71,28534,422,15,299.62,5578.35,33.65,High,1.479,0.71,3.555,19.97,18.62,5278.73
Conversions,LinkedIn,Feed,Desktop,Android,Image,True,Neutral,46,35-44,All,Tech Enthusiasts,$50K-$100K,Low,False,2025-11-03,6,62,7,4.57,13789,631,43,2883.67,11276.33,71.58,Low,4.576,4.57,6.815,67.06,3.91,8392.66
Conversions,Twitter,Feed,Mobile,Android,Video,True,Joy,53,35-44,Female,Business Professionals,<$50K,Medium,False,2024-12-05,4,16,8,1.06,35252,2601,88,2757.06,17954.14,66.55,High,7.378,1.06,3.383,31.33,6.51,15197.08
Lead Generation,Google Ads,Display Network,Tablet,Android,Image,True,Trust,73,45-54,Female,Students,$50K-$100K,Low,False,2025-03-29,16,86,6,4.61,116819,1165,17,5370.65,2429.56,55.97,Medium,0.997,4.61,1.459,315.92,0.45,-2941.09
Brand Awareness,Twitter,Stories,Mobile,Windows,Interactive,True,Trust,50,55-64,Female,Tech Enthusiasts,$100K-$200K,Medium,False,2024-09-09,5,59,6,2.25,6626,89,0,200.25,0.0,50.44,Low,1.343,2.25,0.0,0.0,0.0,-200.25
Brand Awareness,Google Ads,In-Stream Video,Mobile,macOS,Video,False,Joy,16,35-44,Male,Tech Enthusiasts,$50K-$100K,High,False,2024-09-27,7,20,6,4.25,161387,3893,111,16545.25,25782.95,50.68,High,2.412,4.25,2.851,149.06,1.56,9237.7
Lead Generation,Google Ads,Stories,Tablet,macOS,Image,False,Urgency,82,45-54,All,Business Professionals,$50K-$100K,Medium,False,2024-11-04,11,24,3,3.39,111769,1392,91,4718.88,26663.01,35.69,High,1.245,3.39,6.537,51.86,5.65,21944.13
Lead Generation,LinkedIn,Stories,Desktop,Android,Video,False,Joy,1,25-34,Male,Gamers,$50K-$100K,Medium,False,2024-03-18,2,13,7,9.0,26289,1081,26,9729.0,6822.62,44.46,Medium,4.112,9.0,2.405,374.19,0.7,-2906.38
Lead Generation,LinkedIn,Stories,Desktop,iOS,Image,True,Joy,57,25-34,Female,Business Professionals,$50K-$100K,High,False,2025-05-22,10,59,7,9.81,25273,640,64,6278.4,17427.96,27.59,Medium,2.532,9.81,10.0,98.1,2.78,11149.56
Brand Awareness,Google Ads,Feed,Mobile,Windows,Carousel,False,Joy,42,18-24,Male,Business Professionals,$50K-$100K,Medium,True,2024-04-29,19,41,8,3.6,65336,2226,28,8013.6,6363.69,39.53,High,3.407,3.6,1.258,286.2,0.79,-1649.91
Lead Generation,LinkedIn,Feed,Mobile,Windows,Image,True,Curiosity,79,55-64,Female,Tech Enthusiasts,$50K-$100K,Low,False,2024-11-30,11,28,4,5.53,8703,208,10,1150.24,2841.65,66.93,Medium,2.39,5.53,4.808,115.02,2.47,1691.41
Lead Generation,Facebook,Stories,Desktop,Android,Video,True,Joy,69,55-64,Male,Business Professionals,$100K-$200K,Low,False,2025-07-15,7,88,4,0.78,5000,49,1,38.22,164.06,64.61,Low,0.98,0.78,2.041,38.22,4.29,125.84
Conversions,LinkedIn,Feed,Mobile,Android,Image,False,Urgency,19,55-64,Male,Gamers,$50K-$100K,Medium,False,2025-04-12,0,86,6,6.13,62080,1343,35,8232.59,7711.86,59.09,Medium,2.163,6.13,2.606,235.22,0.94,-520.73
Lead Generation,Google Ads,Feed,Mobile,Android,Interactive,True,Joy,55,45-54,Female,Students,$50K-$100K,Medium,False,2025-06-22,13,20,7,4.06,13897,430,7,1745.8,1838.89,61.8,High,3.094,4.06,1.628,249.4,1.05,93.09
Conversions,TikTok,Feed,Mobile,Android,Video,False,Urgency,45,18-24,Male,Health & Fitness,$100K-$200K,Low,False,2024-01-07,6,80,7,2.04,26021,1329,4,2711.16,1764.52,68.31,Medium,5.107,2.04,0.301,677.79,0.65,-946.64
Lead Generation,LinkedIn,Stories,Mobile,Android,Image,True,Joy,89,45-54,Male,Students,$50K-$100K,Medium,False,2025-04-08,1,13,4,7.27,383422,2501,31,18182.27,9020.68,67.46,Medium,0.652,7.27,1.24,586.52,0.5,-9161.59
Brand Awareness,Facebook,Stories,Mobile,Windows,Image,True,Trust,74,45-54,Male,Health & Fitness,$50K-$100K,High,True,2024-02-23,4,58,4,2.34,124094,580,10,1357.2,2981.11,39.38,Low,0.467,2.34,1.724,135.72,2.2,1623.91
Conversions,LinkedIn,Sidebar,Mobile,macOS,Video,True,Joy,79,25-34,Male,Business Professionals,>$200K,Low,False,2024-09-11,19,54,6,8.77,5000,88,1,771.76,398.61,70.38,Low,1.76,8.77,1.136,771.76,0.52,-373.15
App Installs,Google Ads,Stories,Mobile,macOS,Image,True,Joy,64,25-34,Male,Students,<$50K,High,False,2024-12-11,14,10,7,3.78,57536,2471,161,9340.38,22988.74,32.48,High,4.295,3.78,6.516,58.01,2.46,13648.36
App Installs,Google Ads,Feed,Tablet,Other,Image,True,Urgency,31,35-44,Female,Students,$100K-$200K,High,False,2024-04-23,15,14,8,4.84,30100,576,39,2787.84,15146.48,22.04,Medium,1.914,4.84,6.771,71.48,5.43,12358.64
Conversions,TikTok,Stories,Tablet,Windows,Video,True,Joy,78,45-54,Male,Health & Fitness,<$50K,Medium,False,2024-04-19,4,56,5,1.72,233526,3010,63,5177.2,10697.34,39.03,Medium,1.289,1.72,2.093,82.18,2.07,5520.14
Brand Awareness,Instagram,Feed,Desktop,iOS,Image,False,Neutral,27,18-24,Female,Students,$50K-$100K,High,False,2026-01-15,11,61,5,2.58,28004,487,8,1256.46,1775.31,34.48,Medium,1.739,2.58,1.643,157.06,1.41,518.85
Conversions,LinkedIn,Display Network,Mobile,macOS,Image,True,Neutral,60,35-44,Male,Tech Enthusiasts,$100K-$200K,Medium,False,2024-11-25,6,62,8,4.15,7594,310,9,1286.5,3982.83,61.54,Low,4.082,4.15,2.903,142.94,3.1,2696.33
Lead Generation,Facebook,Stories,Mobile,Android,Interactive,True,Trust,71,25-34,All,Shoppers,>$200K,Low,False,2025-03-29,10,82,4,2.82,21149,273,4,769.86,914.52,58.22,Medium,1.291,2.82,1.465,192.46,1.19,144.66
Lead Generation,Google Ads,Feed,Mobile,Other,Carousel,True,Neutral,88,25-34,Female,Tech Enthusiasts,<$50K,Medium,False,2024-01-24,16,83,1,7.52,185537,557,6,4188.64,1604.16,57.38,Medium,0.3,7.52,1.077,698.11,0.38,-2584.48
App Installs,Google Ads,Stories,Desktop,Android,Carousel,True,Urgency,27,18-24,All,Business Professionals,<$50K,High,False,2024-03-15,9,81,6,3.92,13705,320,27,1254.4,2713.66,20.66,High,2.335,3.92,8.438,46.46,2.16,1459.26
Brand Awareness,Instagram,Feed,Desktop,Other,Interactive,True,Trust,22,65+,All,Health & Fitness,>$200K,High,False,2024-06-12,6,47,7,1.85,43853,1556,69,2878.6,19106.97,22.19,Medium,3.548,1.85,4.434,41.72,6.64,16228.37
Brand Awareness,Twitter,Display Network,Mobile,Android,Interactive,True,Fear,35,25-34,Male,Business Professionals,$50K-$100K,Low,False,2025-12-30,5,52,7,1.13,30476,2297,17,2595.61,2318.13,62.26,Medium,7.537,1.13,0.74,152.68,0.89,-277.48
Lead Generation,Google Ads,Feed,Tablet,iOS,Carousel,True,Curiosity,42,18-24,Female,Tech Enthusiasts,>$200K,Low,False,2025-02-19,14,22,5,2.15,271425,4866,89,10461.9,38368.23,60.38,Medium,1.793,2.15,1.829,117.55,3.67,27906.33
Conversions,Facebook,Feed,Mobile,Android,Interactive,False,Trust,20,25-34,All,Business Professionals,>$200K,Low,True,2024-04-22,8,30,6,1.25,8342,199,3,248.75,1773.27,79.02,Medium,2.386,1.25,1.508,82.92,7.13,1524.52
Conversions,TikTok,Feed,Mobile,Windows,Story,True,Joy,12,25-34,All,Gamers,<$50K,Low,True,2024-09-13,19,12,8,1.06,66718,2064,18,2187.84,3507.39,67.56,Low,3.094,1.06,0.872,121.55,1.6,1319.55
Conversions,LinkedIn,Search,Mobile,iOS,Text,True,Trust,55,25-34,Female,Tech Enthusiasts,<$50K,High,True,2024-12-04,1,52,6,8.88,24618,591,67,5248.08,10626.1,56.42,Medium,2.401,8.88,11.337,78.33,2.02,5378.02
Brand Awareness,Facebook,Display Network,Mobile,Android,Image,True,Urgency,65,55-64,All,Tech Enthusiasts,$50K-$100K,High,False,2024-01-15,18,29,5,0.59,12677,89,1,52.51,260.06,46.32,Low,0.702,0.59,1.124,52.51,4.95,207.55
Lead Generation,Instagram,Search,Desktop,Android,Carousel,False,Joy,43,25-34,Male,Tech Enthusiasts,$50K-$100K,Low,False,2025-12-08,9,54,4,1.46,30185,1328,64,1938.88,14580.31,55.09,Medium,4.4,1.46,4.819,30.3,7.52,12641.43
Lead Generation,TikTok,Stories,Desktop,Android,Image,False,Neutral,57,55-64,All,Health & Fitness,$50K-$100K,Low,False,2025-11-21,16,43,6,2.02,83056,2012,77,4064.24,15386.34,35.87,Low,2.422,2.02,3.827,52.78,3.79,11322.1
App Installs,LinkedIn,Feed,Desktop,iOS,Carousel,True,Joy,48,25-34,Female,Tech Enthusiasts,<$50K,High,False,2025-12-07,13,49,6,9.12,9323,548,137,4997.76,18891.46,21.71,Low,5.878,9.12,25.0,36.48,3.78,13893.7
Brand Awareness,Google Ads,Search,Mobile,iOS,Video,False,Fear,2,25-34,All,Tech Enthusiasts,$100K-$200K,Medium,False,2025-09-16,7,25,4,5.55,15423,406,2,2253.3,743.11,66.14,Low,2.632,5.55,0.493,1126.65,0.33,-1510.19
Brand Awareness,Google Ads,Sidebar,Mobile,Windows,Video,True,Joy,63,55-64,All,Business Professionals,$50K-$100K,Low,True,2024-05-06,7,22,5,4.13,18945,246,8,1015.98,2385.12,53.1,Low,1.298,4.13,3.252,127.0,2.35,1369.14
Brand Awareness,LinkedIn,In-Stream Video,Mobile,Windows,Image,True,Urgency,34,25-34,Male,Health & Fitness,$100K-$200K,Low,False,2025-04-09,6,20,5,13.46,47493,371,2,4993.66,892.86,68.76,Low,0.781,13.46,0.539,2496.83,0.18,-4100.8
App Installs,Google Ads,Feed,Desktop,Windows,Interactive,True,Curiosity,34,25-34,Female,Business Professionals,$50K-$100K,Medium,False,2025-01-03,1,38,7,4.36,5400,245,10,1068.2,3162.97,51.23,Low,4.537,4.36,4.082,106.82,2.96,2094.77
Conversions,Facebook,Stories,Tablet,iOS,Video,True,Joy,86,18-24,All,Tech Enthusiasts,>$200K,High,False,2025-05-30,1,58,3,1.05,87845,1071,69,1124.55,19346.36,30.38,Medium,1.219,1.05,6.443,16.3,17.2,18221.81
Conversions,Facebook,Feed,Mobile,macOS,Video,True,Urgency,87,45-54,All,Tech Enthusiasts,$100K-$200K,Low,False,2025-04-07,2,48,3,2.95,19280,195,2,575.25,965.84,79.25,Low,1.011,2.95,1.026,287.62,1.68,390.59
Lead Generation,Google Ads,Search,Mobile,Windows,Carousel,True,Curiosity,48,35-44,Female,Business Professionals,$50K-$100K,Medium,False,2025-10-30,2,29,6,2.65,50334,1391,104,3686.15,32392.46,58.92,Low,2.764,2.65,7.477,35.44,8.79,28706.31
Conversions,Facebook,Search,Tablet,Android,Story,True,Urgency,66,45-54,Female,Gamers,<$50K,Medium,False,2025-07-24,12,17,2,3.46,143030,523,19,1809.58,4912.55,48.58,High,0.366,3.46,3.633,95.24,2.71,3102.97
Lead Generation,TikTok,In-Stream Video,Desktop,Android,Image,False,Neutral,88,45-54,All,Tech Enthusiasts,$50K-$100K,High,True,2024-04-07,15,44,4,0.67,51737,775,36,519.25,7258.16,43.97,Medium,1.498,0.67,4.645,14.42,13.98,6738.91
Conversions,Twitter,Stories,Tablet,Windows,Video,True,Joy,17,65+,All,Students,>$200K,High,False,2024-08-12,16,8,5,1.23,25028,395,23,485.85,13055.23,21.66,Medium,1.578,1.23,5.823,21.12,26.87,12569.38
Conversions,TikTok,Feed,Mobile,iOS,Interactive,False,Joy,68,18-24,Male,Gamers,$100K-$200K,Medium,False,2025-11-02,23,3,3,1.6,186405,3125,79,5000.0,15967.17,56.3,Low,1.676,1.6,2.528,63.29,3.19,10967.17
Conversions,Google Ads,In-Stream Video,Desktop,Android,Carousel,False,Joy,27,35-44,All,Students,$50K-$100K,Low,False,2025-09-07,4,32,4,6.14,51648,814,38,4997.96,12727.77,58.19,Low,1.576,6.14,4.668,131.53,2.55,7729.81
Lead Generation,Google Ads,Feed,Tablet,Android,Image,True,Curiosity,82,55-64,Female,Gamers,>$200K,Medium,False,2024-01-15,21,31,4,2.43,10630,59,1,143.37,596.16,51.87,Medium,0.555,2.43,1.695,143.37,4.16,452.79
Lead Generation,Facebook,Sidebar,Mobile,Android,Text,False,Neutral,50,45-54,All,Tech Enthusiasts,$50K-$100K,Medium,False,2024-11-16,18,45,5,1.8,50222,1060,42,1908.0,7191.23,52.83,Low,2.111,1.8,3.962,45.43,3.77,5283.23
Lead Generation,Instagram,Feed,Mobile,Windows,Video,True,Neutral,69,25-34,Male,Shoppers,$50K-$100K,High,False,2024-07-17,0,48,3,4.76,6577,52,1,247.52,165.24,46.73,Medium,0.791,4.76,1.923,247.52,0.67,-82.28
Lead Generation,LinkedIn,In-Stream Video,Desktop,iOS,Image,True,Joy,47,65+,All,Tech Enthusiasts,$50K-$100K,Medium,False,2025-01-01,21,66,7,7.23,360682,3471,90,25095.33,22999.04,48.52,High,0.962,7.23,2.593,278.84,0.92,-2096.29
Conversions,LinkedIn,Feed,Desktop,Other,Carousel,False,Neutral,85,35-44,All,Business Professionals,$50K-$100K,High,False,2025-09-09,15,32,3,5.74,45477,493,25,2829.82,3585.03,22.56,Low,1.084,5.74,5.071,113.19,1.27,755.21
Lead Generation,Facebook,Sidebar,Tablet,Android,Video,True,Trust,30,18-24,All,Business Professionals,<$50K,Low,False,2026-01-13,8,52,5,3.26,51076,1236,35,4029.36,8125.31,53.2,Medium,2.42,3.26,2.832,115.12,2.02,4095.95
Engagement,Google Ads,Feed,Mobile,iOS,Image,True,Trust,86,25-34,All,Gamers,$100K-$200K,Medium,False,2025-09-30,14,83,4,2.46,32573,283,3,696.18,1399.33,54.73,Medium,0.869,2.46,1.06,232.06,2.01,703.15
Lead Generation,Twitter,Feed,Mobile,Android,Video,False,Trust,21,18-24,All,Business Professionals,$100K-$200K,High,False,2025-10-27,6,31,5,1.08,9239,739,27,798.12,8885.54,46.38,High,7.999,1.08,3.654,29.56,11.13,8087.42
Brand Awareness,Twitter,Feed,Desktop,Android,Story,True,Curiosity,80,18-24,All,Tech Enthusiasts,$50K-$100K,Medium,True,2024-09-04,15,76,7,1.28,28430,698,8,893.44,1075.46,47.74,High,2.455,1.28,1.146,111.68,1.2,182.02
Conversions,LinkedIn,Display Network,Mobile,Android,Story,True,Joy,67,25-34,All,Health & Fitness,<$50K,Low,False,2024-12-14,17,58,4,7.39,6057,221,12,1633.19,1903.84,90.0,Low,3.649,7.39,5.43,136.1,1.17,270.65
Brand Awareness,Google Ads,Search,Mobile,Android,Carousel,False,Neutral,40,35-44,All,Tech Enthusiasts,<$50K,High,False,2025-08-06,6,70,2,6.9,166031,1054,13,7272.6,1960.94,49.05,High,0.635,6.9,1.233,559.43,0.27,-5311.66
Lead Generation,Google Ads,Display Network,Desktop,Android,Carousel,True,Joy,83,45-54,Female,Business Professionals,<$50K,High,True,2024-05-26,4,52,7,7.17,47200,697,174,4997.49,33572.49,12.7,Low,1.477,7.17,24.964,28.72,6.72,28575.0
Conversions,Instagram,Search,Desktop,Other,Video,False,Fear,25,35-44,Male,Gamers,$50K-$100K,Medium,True,2025-07-09,10,69,7,1.03,5942,275,13,283.25,2938.07,38.56,Low,4.628,1.03,4.727,21.79,10.37,2654.82
Brand Awareness,Google Ads,Stories,Desktop,macOS,Image,True,Joy,18,25-34,Male,Business Professionals,<$50K,Medium,True,2025-09-19,2,71,7,2.12,74910,2425,90,5141.0,9964.52,52.41,Medium,3.237,2.12,3.711,57.12,1.94,4823.52
App Installs,TikTok,Stories,Desktop,iOS,Video,True,Joy,7,25-34,Female,Health & Fitness,$100K-$200K,Medium,True,2025-01-08,22,56,6,0.95,18349,754,31,716.3,14091.64,43.12,Medium,4.109,0.95,4.111,23.11,19.67,13375.34
Conversions,Google Ads,Feed,Tablet,macOS,Interactive,False,Fear,16,25-34,Male,Gamers,$50K-$100K,Low,False,2024-07-24,4,55,7,5.19,14423,457,6,2371.83,2093.96,70.98,Medium,3.169,5.19,1.313,395.3,0.88,-277.87
Lead Generation,TikTok,Feed,Mobile,Android,Carousel,False,Trust,33,45-54,Female,Business Professionals,$50K-$100K,Medium,False,2025-02-28,15,59,5,0.98,43371,462,4,452.76,489.28,58.83,Low,1.065,0.98,0.866,113.19,1.08,36.52
Lead Generation,TikTok,Search,Mobile,Windows,Image,True,Curiosity,89,25-34,All,Business Professionals,$50K-$100K,Medium,False,2024-11-07,18,18,6,1.35,67246,2335,102,3152.25,28765.16,59.49,Medium,3.472,1.35,4.368,30.9,9.13,25612.91
Brand Awareness,Facebook,Stories,Tablet,iOS,Video,True,Joy,81,25-34,Female,Tech Enthusiasts,$100K-$200K,Medium,False,2024-05-12,8,34,2,4.31,13222,148,2,637.88,830.02,53.35,Medium,1.119,4.31,1.351,318.94,1.3,192.14
Engagement,Instagram,Feed,Mobile,Android,Video,True,Urgency,90,25-34,All,Health & Fitness,$100K-$200K,Low,True,2026-01-27,14,66,5,3.07,63876,797,6,2446.79,1148.95,63.15,High,1.248,3.07,0.753,407.8,0.47,-1297.84
